Num,CC,Opis,CC name
ALSFORM,1131170,Variant Housing - support,Housing Variant&Mini
ASSEMNOR,1132381,Assembly in Nordborg,Nor Lab
EXTGALWA,1131806,Wysylka do Galwanizera,Sleeve & Spool Hard
EXTKPK,1131120,Shipment to KPK,Shaft Soft
EXTMNPH,1132300,US Packing Tabel (14040),Production Indirect
EXTPAINT,1132210,MALARZ,Assembly SMC
EXTSNDBL,1132210,wysylka do Piaskowania,Assembly SMC
GALWA,1131806,Galwanizer,Sleeve & Spool Hard
HEAT NOR,1132300,Shipping Department In / Out - NOR,Production Indirect
HEAT T,1132300,Shipping Department In / Out,Production Indirect
KPK,1131120,Powrot od malarza,Shaft Soft
MAGAZYN,1132130,Magazyn ( dostarczenie materialu),Gear Whell Steel Sof
MATERIAL,1132121,Magazyn ( dostarczenie materialu),Shaft LR
PACK WRL,1131804,Pakowanie WRL,Housing OSPM/OSPMS
PAINT,1132162,MALARZ,Painting Line
PLR,1132110,PLR - drilling drain,Housing
POWROT,1132160,powrot,Roller GearWheel Set
QI,1132130,Quality Inspection,Gear Whell Steel Sof
RCV WRC,1132160,Shipping Department In / Out,Roller GearWheel Set
RCV WRC2,1132160,Shipping Department In / Out - rework,Roller GearWheel Set
RCV WRL,1132160,Shipping Department In / Out,Roller GearWheel Set
RCVGALWA,1131806,powrot od Galwanizera,Sleeve & Spool Hard
RCVKPK,1131120,Powrot od malarza,Shaft Soft
RCVMNPH,1132300,US Packing Tabel (14040),Production Indirect
RCVPAINT,1132210,Powrot od malarza,Assembly SMC
RCVSNDBL,1132210,powrot z piaskowania,Assembly SMC
S PAINT,1131815,MALARZ STEERING,Production support
S RETURN,1131815,Return from Paint,Production support
S SHIP,1131815,Ship to Paint,Production support
S SHIP A,1131815,Ship to Paint_Alu,Production support
SERV DK,1131190,Niklowanie w Sonderborg Fornikling,Housing OMRS & OMEW
SERV NOR,1132160,Shipping Department In / Out,Roller GearWheel Set
SERV WR0,1132160,Shipping Department In / Out,Roller GearWheel Set
SERV WRC,1132160,Shipping Department In / Out,Roller GearWheel Set
SERV WRL,1132160,Shipping Department In / Out,Roller GearWheel Set
SERV ZHE,1132160,Shipping Department In / Out to China,Roller GearWheel Set
SNDBLAST,1132210,Piaskowanie,Assembly SMC
WYSYLKA,1132160,wysylka,Roller GearWheel Set
12010,1131120,Mori Seiki CL2000 - Turning,Shaft Soft
12011,1131120,MURATEC - Turning,Shaft Soft
12021,1131120,Brother - Milling,Shaft Soft
12061,1131120,Spline Milling in NOR,Shaft Soft
12062,1131120,HAAS - Milling,Shaft Soft
WC1,1131808,tuleja OSP na miekko,
WC10,1131808,tuleja OSP na twardo,Sle&sp
WC11,1131809,walek OSP na twardo,Sle&sp
WC12,1131821,gratowanie termiczne + fosforanowanie (w,Chemical Treatment
WC13,1131195,obrobka cieplna + piaskarka (walki naped,Heat Treatment
WC14,1131803,walek napedowy OSPM,Cardan
WC15,1131811,honowanie korpusu OSP+OSPP,Cardan
WC16,1131811,korpus OSP (calosc przed gratowaniem ter,Cardan
WC17,1131804,"ciecie (wieniec OSP, OMP, OSPM)",Housing OSPM/OSPMS
WC18,1131810,korpusy OSPP/OSP,Housing OSPP
WC19,1131805,tuleja rozrzadcza OSPM na miekko,Sleeve & Spool Soft
WC2,1131802,wklad OSPM,Gear sets
WC20,1131801,wience OSP+OMP na miekko,Gear sets
WC21,1131804,wience OSPM na miekko,Housing OSPM/OSPMS
WC22,1131804,korpus OSPMS,Housing OSPM/OSPMS
WC23,1131804,korpus OSPM,Housing OSPM/OSPMS
WC24,1131805,walek OSPM na miekko,Sleeve & Spool Soft
WC25,1131815,KOOPERACJA,Sleeve & Spool Soft
WC26,1131809,szlifowanie kojarzace rozdzielacz OSP,Sleeve & Spool Soft
WC27,1131804,honowanie korpusu OSPM,Housing OSPM/OSPMS
WC28,1131801,frezowanie kol OMP,Housing OSPM/OSPMS
WC29,1131804,kolo OSPR+walek TAD,Housing OSPM/OSPMS
WC3,1131806,walek OSPM na twardo + rozdzielacz,Sleeve & Spool Hard
WC30,1131811,stama 5x (waskie gardlo),Sleeve & Spool Hard
WC31,1131807,pakowanie OSPM,Assembly OPSM/OSPMS
WC32,1131807,pakowanie OSP (kartony),Assembly OPSM/OSPMS
WC33,1131812,pakowanie OSP (palety),Assembly OSPP
